fname,prediction,true_val
abra/107-2189546675.jpeg,aipom,abra
abra/108-2236583756.png,aipom,abra
abra/139-6713074833.png,aipom,abra
abra/149-2288996320.jpeg,aipom,abra
abra/16-9549054379.jpeg,aipom,abra
abra/172-3468813760.jpg,alakazam,abra
abra/183-5524447342.png,aipom,abra
abra/2-9970155874.png,azumarill,abra
abra/20-5843023427.jpeg,aipom,abra
abra/217-2397279042.jpg,aipom,abra
abra/244-2785523395.jpg,aipom,abra
abra/250-2589825010.jpg,aipom,abra
abra/314-9629981367.png,azumarill,abra
abra/362-2597183825.png,aipom,abra
abra/380-8413644465.jpg,aipom,abra
abra/418-1049732812.jpg,abra,abra
abra/423-6652374003.png,aipom,abra
abra/433-9674741044.jpg,aipom,abra
abra/434-9568550288.jpeg,aipom,abra
abra/51-7977303910.jpeg,aipom,abra
abra/54-2563836737.jpg,aipom,abra
abra/6-5767544522.jpg,aipom,abra
abra/62-8863884543.jpeg,aipom,abra
abra/87-6366265139.png,alakazam,abra
aerodactyl/465-3210824721.jpeg,alakazam,aerodactyl
aerodactyl/468-2126095359.png,aipom,aerodactyl
aerodactyl/470-2346420859.png,alakazam,aerodactyl
aerodactyl/478-2321497126.png,alakazam,aerodactyl
aerodactyl/488-6908267746.jpeg,alakazam,aerodactyl
aerodactyl/489-9697776749.jpeg,alakazam,aerodactyl
aerodactyl/495-3053133796.jpeg,alakazam,aerodactyl
aerodactyl/498-7989859628.jpeg,alakazam,aerodactyl
aerodactyl/499-5281063449.png,azumarill,aerodactyl
aerodactyl/500-2934377768.png,abra,aerodactyl
aerodactyl/504-8958678554.jpeg,alakazam,aerodactyl
aerodactyl/508-2980739160.jpeg,alakazam,aerodactyl
aerodactyl/515-1440739515.png,alakazam,aerodactyl
aerodactyl/516-8662970679.png,alakazam,aerodactyl
aerodactyl/519-2951716034.png,alakazam,aerodactyl
aerodactyl/547-4122880001.jpeg,alakazam,aerodactyl
aerodactyl/574-5504581237.jpeg,alakazam,aerodactyl
aerodactyl/575-1048779540.jpeg,alakazam,aerodactyl
aerodactyl/589-2902969727.jpeg,aipom,aerodactyl
aerodactyl/606-5806792604.png,aipom,aerodactyl
aerodactyl/608-5131335196.jpeg,alakazam,aerodactyl
aerodactyl/618-4342458124.jpeg,alakazam,aerodactyl
aerodactyl/621-5953319813.jpeg,ampharos,aerodactyl
aerodactyl/628-5720163980.jpeg,ampharos,aerodactyl
aerodactyl/629-3918397835.png,ampharos,aerodactyl
aerodactyl/634-2418332985.jpeg,ampharos,aerodactyl
aerodactyl/648-3316677096.png,ampharos,aerodactyl
aerodactyl/659-1268922181.jpeg,aipom,aerodactyl
aerodactyl/675-9195000543.jpeg,ampharos,aerodactyl
aerodactyl/676-8835461071.jpeg,ampharos,aerodactyl
aerodactyl/685-5361661497.png,azumarill,aerodactyl
aerodactyl/693-5527271760.jpeg,aipom,aerodactyl
aerodactyl/foo12.jpeg.jpeg.jpeg.jpeg,ampharos,aerodactyl
aipom/721-4589020992.png,aipom,aipom
aipom/743-1740865407.jpeg,ampharos,aipom
aipom/753-3615597532.png,ampharos,aipom
aipom/757-5646621475.png,ampharos,aipom
aipom/763-4520430521.png,ampharos,aipom
aipom/765-3141131859.jpeg,ampharos,aipom
aipom/786-6217268769.jpeg,ampharos,aipom
aipom/813-8019022990.jpeg,aipom,aipom
aipom/834-9307489115.jpeg,aipom,aipom
aipom/837-8849897302.jpeg,arbok,aipom
aipom/844-7749073684.png,ampharos,aipom
aipom/846-4755368689.jpeg,arbok,aipom
