fname,prediction,true_val
abra/107-2189546675.jpeg,articuno,abra
abra/108-2236583756.png,aipom,abra
abra/139-6713074833.png,aipom,abra
abra/149-2288996320.jpeg,aipom,abra
abra/16-9549054379.jpeg,articuno,abra
abra/172-3468813760.jpg,aerodactyl,abra
abra/183-5524447342.png,articuno,abra
abra/2-9970155874.png,aerodactyl,abra
abra/20-5843023427.jpeg,aerodactyl,abra
abra/217-2397279042.jpg,arcanine,abra
abra/244-2785523395.jpg,aerodactyl,abra
abra/250-2589825010.jpg,arbok,abra
abra/314-9629981367.png,aipom,abra
abra/362-2597183825.png,aerodactyl,abra
abra/380-8413644465.jpg,aipom,abra
abra/418-1049732812.jpg,ampharos,abra
abra/423-6652374003.png,aipom,abra
abra/433-9674741044.jpg,aipom,abra
abra/434-9568550288.jpeg,arcanine,abra
abra/51-7977303910.jpeg,aipom,abra
abra/54-2563836737.jpg,aipom,abra
abra/6-5767544522.jpg,aipom,abra
abra/62-8863884543.jpeg,aerodactyl,abra
abra/87-6366265139.png,ampharos,abra
aerodactyl/465-3210824721.jpeg,aerodactyl,aerodactyl
aerodactyl/468-2126095359.png,arbok,aerodactyl
aerodactyl/470-2346420859.png,aerodactyl,aerodactyl
aerodactyl/478-2321497126.png,aerodactyl,aerodactyl
aerodactyl/488-6908267746.jpeg,aipom,aerodactyl
aerodactyl/489-9697776749.jpeg,aerodactyl,aerodactyl
aerodactyl/495-3053133796.jpeg,articuno,aerodactyl
aerodactyl/498-7989859628.jpeg,aerodactyl,aerodactyl
aerodactyl/499-5281063449.png,arcanine,aerodactyl
aerodactyl/500-2934377768.png,aipom,aerodactyl
aerodactyl/504-8958678554.jpeg,aerodactyl,aerodactyl
aerodactyl/508-2980739160.jpeg,aipom,aerodactyl
aerodactyl/515-1440739515.png,aerodactyl,aerodactyl
aerodactyl/516-8662970679.png,arcanine,aerodactyl
aerodactyl/519-2951716034.png,aipom,aerodactyl
aerodactyl/547-4122880001.jpeg,arbok,aerodactyl
aerodactyl/574-5504581237.jpeg,aerodactyl,aerodactyl
aerodactyl/575-1048779540.jpeg,articuno,aerodactyl
aerodactyl/589-2902969727.jpeg,aerodactyl,aerodactyl
aerodactyl/606-5806792604.png,ariados,aerodactyl
aerodactyl/608-5131335196.jpeg,arcanine,aerodactyl
aerodactyl/618-4342458124.jpeg,aerodactyl,aerodactyl
aerodactyl/621-5953319813.jpeg,articuno,aerodactyl
aerodactyl/628-5720163980.jpeg,articuno,aerodactyl
aerodactyl/629-3918397835.png,aerodactyl,aerodactyl
aerodactyl/634-2418332985.jpeg,aerodactyl,aerodactyl
aerodactyl/648-3316677096.png,aerodactyl,aerodactyl
aerodactyl/659-1268922181.jpeg,aerodactyl,aerodactyl
aerodactyl/675-9195000543.jpeg,aerodactyl,aerodactyl
aerodactyl/676-8835461071.jpeg,articuno,aerodactyl
aerodactyl/685-5361661497.png,articuno,aerodactyl
aerodactyl/693-5527271760.jpeg,arcanine,aerodactyl
aerodactyl/foo12.jpeg.jpeg.jpeg.jpeg,aerodactyl,aerodactyl
aipom/721-4589020992.png,aipom,aipom
aipom/743-1740865407.jpeg,aipom,aipom
aipom/753-3615597532.png,aipom,aipom
aipom/757-5646621475.png,aipom,aipom
aipom/763-4520430521.png,aipom,aipom
aipom/765-3141131859.jpeg,aipom,aipom
aipom/786-6217268769.jpeg,aipom,aipom
aipom/813-8019022990.jpeg,arbok,aipom
aipom/834-9307489115.jpeg,aipom,aipom
aipom/837-8849897302.jpeg,aipom,aipom
aipom/844-7749073684.png,aipom,aipom
aipom/846-4755368689.jpeg,aipom,aipom
aipom/848-8115628416.jpeg,aipom,aipom
aipom/849-9051869514.jpeg,aipom,aipom
aipom/853-2833716157.png,aipom,aipom
aipom/856-7224095754.jpeg,aipom,aipom
aipom/865-5866468150.jpeg,aipom,aipom
aipom/875-4980974776.jpeg,aipom,aipom
aipom/894-2612878986.jpeg,aipom,aipom
aipom/908-8474517286.png,aipom,aipom
aipom/910-3190747727.jpeg,aipom,aipom
aipom/912-6165380912.jpeg,aipom,aipom
aipom/913-8324389664.png,aipom,aipom
aipom/917-8367171558.jpeg,aipom,aipom
aipom/foo11.jpeg.jpeg,aipom,aipom
